Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Administrative Law Judge 1,1510,5,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Administrative Law Judge 1,1510,6,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Administrative Law Judge 1,1510,7,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Administrative Law Judge 1,1510,8,Strikeable,8057,8999,10065,942,2008,21372,96684,120780
Administrative Law Judge 1,1510,9,Strikeable,8450,9447,10065,997,1615,22341,101400,120780
Administrative Law Judge 1,1510,10,Strikeable,8870,9447,10065,577,1195,23377,106440,120780
Administrative Law Judge 2,1511,1,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Administrative Law Judge 2,1511,2,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Administrative Law Judge 2,1511,3,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Administrative Law Judge 2,1511,4,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Administrative Law Judge 2,1511,5,Strikeable,8057,8999,10065,942,2008,21372,96684,120780
Administrative Law Judge 2,1511,6,Strikeable,8450,9447,10545,997,2095,22341,101400,126540
Administrative Law Judge 2,1511,7,Strikeable,8870,9897,11065,1027,2195,23377,106440,132780
Administrative Law Judge 2,1511,8,Strikeable,9293,10385,11622,1092,2329,24420,111516,139464
Administrative Law Judge 2,1511,9,Strikeable,9751,10908,11622,1157,1871,25550,117012,139464
Administrative Law Judge 2,1511,10,Strikeable,10242,10908,11622,666,1380,26761,122904,139464
Administrative Law Judge 3,1513,1,Strikeable,8057,8999,10065,942,2008,21372,96684,120780
Administrative Law Judge 3,1513,2,Strikeable,8450,9447,10545,997,2095,22341,101400,126540
Administrative Law Judge 3,1513,3,Strikeable,8870,9897,11065,1027,2195,23377,106440,132780
Administrative Law Judge 3,1513,4,Strikeable,9293,10385,11622,1092,2329,24420,111516,139464
Administrative Law Judge 3,1513,5,Strikeable,9751,10908,12187,1157,2436,25550,117012,146244
Administrative Law Judge 3,1513,6,Strikeable,10242,11438,12785,1196,2543,26761,122904,153420
Administrative Law Judge 3,1513,7,Strikeable,10740,11999,13419,1259,2679,27989,128880,161028
Administrative Law Judge 3,1513,8,Strikeable,11267,12594,14080,1327,2813,29289,135204,168960
Administrative Law Judge 3,1513,9,Strikeable,11825,13215,14080,1390,2255,30665,141900,168960
Administrative Law Judge 3,1513,10,Strikeable,12408,13215,14080,807,1672,32103,148896,168960
Administrative Specialist 1,107,1,Strikeable,3218,3709,4118,491,900,9437,38616,49416
Administrative Specialist 1,107,2,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Administrative Specialist 1,107,3,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Administrative Specialist 1,107,4,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Administrative Specialist 1,107,5,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Administrative Specialist 1,107,6,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Administrative Specialist 1,107,7,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Administrative Specialist 1,107,8,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Administrative Specialist 1,107,9,Strikeable,4555,5086,5420,531,865,12735,54660,65040
Administrative Specialist 1,107,10,Strikeable,4776,5086,5420,310,644,13280,57312,65040
Administrative Specialist 2,108,1,Strikeable,3629,4222,4715,593,1086,10451,43548,56580
Administrative Specialist 2,108,2,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Administrative Specialist 2,108,3,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Administrative Specialist 2,108,4,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Administrative Specialist 2,108,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Administrative Specialist 2,108,6,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Administrative Specialist 2,108,7,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Administrative Specialist 2,108,8,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Administrative Specialist 2,108,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Administrative Specialist 2,108,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Adult Protective Service Specialist,6616,1,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Adult Protective Service Specialist,6616,2,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Adult Protective Service Specialist,6616,3,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Adult Protective Service Specialist,6616,4,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Adult Protective Service Specialist,6616,5,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Adult Protective Service Specialist,6616,6,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Adult Protective Service Specialist,6616,7,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Adult Protective Service Specialist,6616,8,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Adult Protective Service Specialist,6616,9,Strikeable,6664,7436,7923,772,1259,17936,79968,95076
Adult Protective Service Specialist,6616,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Aerial Photographer,3540,1,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Aerial Photographer,3540,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Aerial Photographer,3540,3,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Aerial Photographer,3540,4,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Aerial Photographer,3540,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Aerial Photographer,3540,6,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Aerial Photographer,3540,7,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Aerial Photographer,3540,8,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Aerial Photographer,3540,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Aerial Photographer,3540,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Aircraft Pilot,8333,1,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Aircraft Pilot,8333,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Aircraft Pilot,8333,3,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Aircraft Pilot,8333,4,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Aircraft Pilot,8333,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Aircraft Pilot,8333,6,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Aircraft Pilot,8333,7,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Aircraft Pilot,8333,8,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Aircraft Pilot,8333,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Aircraft Pilot,8333,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Appraiser Analyst 1,735,1,Strikeable,3335,3865,4301,530,966,9726,40020,51612
Appraiser Analyst 1,735,2,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Appraiser Analyst 1,735,3,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Appraiser Analyst 1,735,4,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Appraiser Analyst 1,735,5,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Appraiser Analyst 1,735,6,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Appraiser Analyst 1,735,7,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Appraiser Analyst 1,735,8,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Appraiser Analyst 1,735,9,Strikeable,4776,5345,5695,569,919,13280,57312,68340
Appraiser Analyst 1,735,10,Strikeable,5019,5345,5695,326,676,13879,60228,68340
Appraiser Analyst 2,736,1,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Appraiser Analyst 2,736,2,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Appraiser Analyst 2,736,3,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Appraiser Analyst 2,736,4,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Appraiser Analyst 2,736,5,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Appraiser Analyst 2,736,6,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Appraiser Analyst 2,736,7,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Appraiser Analyst 2,736,8,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Appraiser Analyst 2,736,9,Strikeable,6664,7436,7923,772,1259,17936,79968,95076
Appraiser Analyst 2,736,10,Strikeable,6982,7436,7923,454,941,18721,83784,95076
Appraiser Analyst 3,737,1,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Appraiser Analyst 3,737,2,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Appraiser Analyst 3,737,3,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Appraiser Analyst 3,737,4,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Appraiser Analyst 3,737,5,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Appraiser Analyst 3,737,6,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Appraiser Analyst 3,737,7,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Appraiser Analyst 3,737,8,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Appraiser Analyst 3,737,9,Strikeable,7678,8581,9143,903,1465,20437,92136,109716
Appraiser Analyst 3,737,10,Strikeable,8057,8581,9143,524,1086,21372,96684,109716
Appraiser Analyst 4,738,1,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Appraiser Analyst 4,738,2,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Appraiser Analyst 4,738,3,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Appraiser Analyst 4,738,4,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Appraiser Analyst 4,738,5,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Appraiser Analyst 4,738,6,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Appraiser Analyst 4,738,7,Strikeable,8057,8999,10065,942,2008,21372,96684,120780
Appraiser Analyst 4,738,8,Strikeable,8450,9447,10545,997,2095,22341,101400,126540
Appraiser Analyst 4,738,9,Strikeable,8870,9897,10545,1027,1675,23377,106440,126540
Appraiser Analyst 4,738,10,Strikeable,9293,9897,10545,604,1252,24420,111516,126540
Apprenticeship Representative,4380,1,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Apprenticeship Representative,4380,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Apprenticeship Representative,4380,3,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Apprenticeship Representative,4380,4,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Apprenticeship Representative,4380,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Apprenticeship Representative,4380,6,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Apprenticeship Representative,4380,7,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Apprenticeship Representative,4380,8,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Apprenticeship Representative,4380,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Apprenticeship Representative,4380,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Automotive Fleet Attendant,4417,1,Strikeable,0,,,,,1500,0,
Automotive Fleet Attendant,4417,2,Strikeable,3005,3427,3784,422,779,8912,36060,45408
Automotive Fleet Attendant,4417,3,Strikeable,3095,3427,3784,332,689,9134,37140,45408
Automotive Fleet Attendant,4417,4,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Automotive Fleet Attendant,4417,5,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Automotive Fleet Attendant,4417,6,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Automotive Fleet Attendant,4417,7,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Automotive Fleet Attendant,4417,8,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Automotive Fleet Attendant,4417,9,Strikeable,3964,4425,4715,461,751,11277,47568,56580
Automotive Fleet Attendant,4417,10,Strikeable,4155,4425,4715,270,560,11748,49860,56580
Automotive Technician 1,4418,1,Strikeable,3483,4036,4498,553,1015,10091,41796,53976
Automotive Technician 1,4418,2,Strikeable,3629,4036,4498,407,869,10451,43548,53976
Automotive Technician 1,4418,3,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Automotive Technician 1,4418,4,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Automotive Technician 1,4418,5,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Automotive Technician 1,4418,6,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Automotive Technician 1,4418,7,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Automotive Technician 1,4418,8,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Automotive Technician 1,4418,9,Strikeable,5019,5598,5964,579,945,13879,60228,71568
Automotive Technician 1,4418,10,Strikeable,5256,5598,5964,342,708,14464,63072,71568
Automotive Technician 2,4419,1,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Automotive Technician 2,4419,2,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Automotive Technician 2,4419,3,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Automotive Technician 2,4419,4,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Automotive Technician 2,4419,5,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Automotive Technician 2,4419,6,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Automotive Technician 2,4419,7,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Automotive Technician 2,4419,8,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Automotive Technician 2,4419,9,Strikeable,6051,6763,7206,712,1155,16424,72612,86472
Automotive Technician 2,4419,10,Strikeable,6350,6763,7206,413,856,17162,76200,86472
Behavioral Health Specialist 1,6531,1,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Behavioral Health Specialist 1,6531,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Behavioral Health Specialist 1,6531,3,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Behavioral Health Specialist 1,6531,4,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Behavioral Health Specialist 1,6531,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Behavioral Health Specialist 1,6531,6,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Behavioral Health Specialist 1,6531,7,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Behavioral Health Specialist 1,6531,8,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Behavioral Health Specialist 1,6531,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Behavioral Health Specialist 1,6531,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Behavioral Health Specialist 2,6534,1,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Behavioral Health Specialist 2,6534,2,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Behavioral Health Specialist 2,6534,3,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Behavioral Health Specialist 2,6534,4,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Behavioral Health Specialist 2,6534,5,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Behavioral Health Specialist 2,6534,6,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Behavioral Health Specialist 2,6534,7,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Behavioral Health Specialist 2,6534,8,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Behavioral Health Specialist 2,6534,9,Strikeable,7327,8177,8713,850,1386,19571,87924,104556
Behavioral Health Specialist 2,6534,10,Strikeable,7678,8177,8713,499,1035,20437,92136,104556
Behavioral Health Specialist 3,6535,1,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Behavioral Health Specialist 3,6535,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Behavioral Health Specialist 3,6535,3,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Behavioral Health Specialist 3,6535,4,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Behavioral Health Specialist 3,6535,5,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Behavioral Health Specialist 3,6535,6,Strikeable,6982,7803,8713,821,1731,18721,83784,104556
Behavioral Health Specialist 3,6535,7,Strikeable,7327,8177,9143,850,1816,19571,87924,109716
Behavioral Health Specialist 3,6535,8,Strikeable,7678,8581,9589,903,1911,20437,92136,115068
Behavioral Health Specialist 3,6535,9,Strikeable,8057,8999,9589,942,1532,21372,96684,115068
Behavioral Health Specialist 3,6535,10,Strikeable,8450,8999,9589,549,1139,22341,101400,115068
Biological Science Assistant,3769,1,Strikeable,0,,,,,1500,0,
Biological Science Assistant,3769,2,Strikeable,0,,,,,1500,0,
Biological Science Assistant,3769,3,Strikeable,0,,,,,1500,0,
Biological Science Assistant,3769,4,Strikeable,3005,3427,3784,422,779,8912,36060,45408
Biological Science Assistant,3769,5,Strikeable,3095,3427,3784,332,689,9134,37140,45408
Biological Science Assistant,3769,6,Strikeable,3218,3552,3952,334,734,9437,38616,47424
Biological Science Assistant,3769,7,Strikeable,3335,3709,4118,374,783,9726,40020,49416
Biological Science Assistant,3769,8,Strikeable,3483,3865,4301,382,818,10091,41796,51612
Biological Science Assistant,3769,9,Strikeable,3629,4036,4301,407,672,10451,43548,51612
Biological Science Assistant,3769,10,Strikeable,3790,4036,4301,246,511,10848,45480,51612
Business & Employment Specialist 2,6699,1,Strikeable,3790,4222,4715,432,925,10848,45480,56580
Business & Employment Specialist 2,6699,2,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Business & Employment Specialist 2,6699,3,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Business & Employment Specialist 2,6699,4,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Business & Employment Specialist 2,6699,5,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Business & Employment Specialist 2,6699,6,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Business & Employment Specialist 2,6699,7,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Business & Employment Specialist 2,6699,8,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Business & Employment Specialist 2,6699,9,Strikeable,5503,6146,6549,643,1046,15073,66036,78588
Business & Employment Specialist 2,6699,10,Strikeable,5771,6146,6549,375,778,15734,69252,78588
Carpenter,4003,1,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Carpenter,4003,2,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Carpenter,4003,3,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Carpenter,4003,4,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Carpenter,4003,5,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Carpenter,4003,6,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Carpenter,4003,7,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Carpenter,4003,8,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Carpenter,4003,9,Strikeable,5771,6444,6866,673,1095,15734,69252,82392
Carpenter,4003,10,Strikeable,6051,6444,6866,393,815,16424,72612,82392
Certified Occupation Therapist Assistant,6506,1,Strikeable,3629,4425,4943,796,1314,10451,43548,59316
Certified Occupation Therapist Assistant,6506,2,Strikeable,3790,4425,4943,635,1153,10848,45480,59316
Certified Occupation Therapist Assistant,6506,3,Strikeable,3964,4425,4943,461,979,11277,47568,59316
Certified Occupation Therapist Assistant,6506,4,Strikeable,4155,4639,5169,484,1014,11748,49860,62028
Certified Occupation Therapist Assistant,6506,5,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Certified Occupation Therapist Assistant,6506,6,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Certified Occupation Therapist Assistant,6506,7,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Certified Occupation Therapist Assistant,6506,8,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Certified Occupation Therapist Assistant,6506,9,Strikeable,5256,5861,6245,605,989,14464,63072,74940
Certified Occupation Therapist Assistant,6506,10,Strikeable,5503,5861,6245,358,742,15073,66036,74940
Chaplain,6680,1,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Chaplain,6680,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Chaplain,6680,3,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Chaplain,6680,4,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Chaplain,6680,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Chaplain,6680,6,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Chaplain,6680,7,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Chaplain,6680,8,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Chaplain,6680,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Chaplain,6680,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Chemist 1,3715,1,Strikeable,4356,4851,5420,495,1064,12244,52272,65040
Chemist 1,3715,2,Strikeable,4555,5086,5695,531,1140,12735,54660,68340
Chemist 1,3715,3,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Chemist 1,3715,4,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Chemist 1,3715,5,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Chemist 1,3715,6,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Chemist 1,3715,7,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Chemist 1,3715,8,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Chemist 1,3715,9,Strikeable,6350,7097,7562,747,1212,17162,76200,90744
Chemist 1,3715,10,Strikeable,6664,7097,7562,433,898,17936,79968,90744
Chemist 2,3716,1,Strikeable,4776,5345,5964,569,1188,13280,57312,71568
Chemist 2,3716,2,Strikeable,5019,5598,6245,579,1226,13879,60228,74940
Chemist 2,3716,3,Strikeable,5256,5861,6549,605,1293,14464,63072,78588
Chemist 2,3716,4,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Chemist 2,3716,5,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Chemist 2,3716,6,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
Chemist 2,3716,7,Strikeable,6350,7097,7923,747,1573,17162,76200,95076
Chemist 2,3716,8,Strikeable,6664,7436,8314,772,1650,17936,79968,99768
Chemist 2,3716,9,Strikeable,6982,7803,8314,821,1332,18721,83784,99768
Chemist 2,3716,10,Strikeable,7327,7803,8314,476,987,19571,87924,99768
Chemist 3,3717,1,Strikeable,5503,6146,6866,643,1363,15073,66036,82392
Chemist 3,3717,2,Strikeable,5771,6444,7206,673,1435,15734,69252,86472
Chemist 3,3717,3,Strikeable,6051,6763,7562,712,1511,16424,72612,90744
