Position,Classification_Code,Starting step,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Disability Analyst 2,5937,1,4555,5086,5695,531,1140,12735,54660,68340
District Veterinarian,6440,1,5503,6146,6866,643,1363,15073,66036,82392
DOJ Claims Examiner,5933,1,3964,4425,4943,461,979,11277,47568,59316
Dormitory Counselor 1,6767,1,3095,3552,3952,457,857,9134,37140,47424
Dormitory Counselor 2,6768,1,3629,4222,4715,593,1086,10451,43548,56580
Economist 1,1161,1,4155,4639,5169,484,1014,11748,49860,62028
Economist 2,1163,1,5019,5598,6245,579,1226,13879,60228,74940
Economist 3,1163,1,5771,6444,7206,673,1435,15734,69252,86472
Economist 4,1164,1,6664,7436,8314,772,1650,17936,79968,99768
Education Program Specialist 1,3300,1,5771,6444,7206,673,1435,15734,69252,86472
Education Program Specialist 2,3301,1,6664,7436,8314,772,1650,17936,79968,99768
Electrician 2,4008,1,4776,5345,5964,569,1188,13280,57312,71568
Electrician 3,4009,1,5256,5861,6549,605,1293,14464,63072,78588
Electronic Publishing Design Specialist 1,3510,1,3218,3709,4118,491,900,9437,38616,49416
Electronic Publishing Design Specialist 2,3511,1,3964,4425,4943,461,979,11277,47568,59316
Electronic Publishing Design Specialist 3,3513,1,4356,4851,5420,495,1064,12244,52272,65040
Electronic Security Technician 2,4051,1,4776,5345,5964,569,1188,13280,57312,71568
Employment Adjudicator,6693,1,4155,4639,5169,484,1014,11748,49860,62028
Employment Appeals Board Legal Staff,1543,1,5503,6146,6866,643,1363,15073,66036,82392
Engineering Technician 2,3110,1,3483,4036,4498,553,1015,10091,41796,53976
Engineering Technician 3,3111,1,3790,4425,4943,635,1153,10848,45480,59316
Environmental Engineer 2,3411,1,5771,6444,7206,673,1435,15734,69252,86472
Environmental Engineer 3,3413,1,6664,7436,8314,772,1650,17936,79968,99768
Environmental Health Specialist 3,3819,1,5256,5861,6549,605,1293,14464,63072,78588
Epidemiologist 1,6316,1,5019,5598,6245,579,1226,13879,60228,74940
Epidemiologist 2,6317,1,5771,6444,7206,673,1435,15734,69252,86472
Epidemiologist 3,6318,1,6350,7097,7923,747,1573,17162,76200,95076
Equipment Operator,4433,1,3790,4425,4943,635,1153,10848,45480,59316
Executive Assistant,830,1,4555,5086,5695,531,1140,12735,54660,68340
Executive Support Specialist 1,118,1,3218,3709,4118,491,900,9437,38616,49416
Executive Support Specialist 2,119,1,3629,4222,4715,593,1086,10451,43548,56580
Facilities Engineer 1,3351,1,5019,5598,6245,579,1226,13879,60228,74940
Facilities Engineer 3,3353,1,6664,7436,8314,772,1650,17936,79968,99768
Facility Energy Technician 2,4033,1,3964,4425,4943,461,979,11277,47568,59316
Facility Energy Technician 3,4034,1,4776,5345,5964,569,1188,13280,57312,71568
Facility Energy Technician 4,4035,1,5503,6146,6866,643,1363,15073,66036,82392
Facility Maintenance Specialist,4013,1,3335,3865,4301,530,966,9726,40020,51612
Facility Operations Specialist 1,4014,1,4356,4851,5420,495,1064,12244,52272,65040
Facility Operations Specialist 2,4015,1,4776,5345,5964,569,1188,13280,57312,71568
Financial Enforcement Officer,1547,1,6350,7097,7923,747,1573,17162,76200,95076
Financial Examiner 1,5675,1,4356,4851,5420,495,1064,12244,52272,65040
Financial Examiner 2,5676,1,5019,5598,6245,579,1226,13879,60228,74940
Financial Examiner 3,5677,1,5771,6444,7206,673,1435,15734,69252,86472
Financial Investigator 1,5335,1,4776,5345,5964,569,1188,13280,57312,71568
Fiscal Analyst 1,1343,1,4155,4639,5169,484,1014,11748,49860,62028
Fiscal Analyst 2,1344,1,5019,5598,6245,579,1226,13879,60228,74940
Fiscal Analyst 3,1345,1,5771,6444,7206,673,1435,15734,69252,86472
Fiscal Auditor 1,5641,1,4155,4639,5169,484,1014,11748,49860,62028
Fish and Wildlife Technical Coordinator,8346,1,3790,4425,4943,635,1153,10848,45480,59316
Fish and Wildlife Technician,8341,1,3218,3709,4118,491,900,9437,38616,49416
Fish and Wildlife Technician Entry,8340,1,0,,,,,1500,0,
Fish and Wildlife Technician Senior,8343,1,3483,3865,4301,382,818,10091,41796,51612
Food Service Worker,9103,1,0,,,,,1500,0,
Forest Crew Coordinator,8318,1,3483,4036,4498,553,1015,10091,41796,53976
Forest Lookout,8353,1,0,,,,,1500,0,
Forest Management Technician,8311,1,3095,3552,3952,457,857,9134,37140,47424
Forest Officer,8357,1,4155,4639,5169,484,1014,11748,49860,62028
Geologist 2,3531,1,4776,5345,5964,569,1188,13280,57312,71568
Governmental Auditor 1,5646,1,4356,4851,5420,495,1064,12244,52272,65040
Governmental Auditor 2,5647,1,4776,5345,5964,569,1188,13280,57312,71568
Governmental Auditor 3,5648,1,5503,6146,6866,643,1363,15073,66036,82392
Grounds Maintenance Worker 1,4109,1,0,,,,,1500,0,
Grounds Maintenance Worker 2,4110,1,3218,3709,4118,491,900,9437,38616,49416
Group Life Coordinator 1,6750,1,3005,3552,3952,547,947,8912,36060,47424
Group Life Coordinator 2,6751,1,3483,4222,4715,739,1232,10091,41796,56580
Hairdresser,9300,1,0,,,,,1500,0,
Health Care Investigator/Advisor,5911,1,4776,5345,5964,569,1188,13280,57312,71568
Health Information Specialist,15,1,3335,3865,4301,530,966,9726,40020,51612
Heavy Equipment Technician 1,4437,1,0,,,,,1500,0,
Heavy Equipment Technician 2,4438,1,0,,,,,1500,0,
Human Services Assistant 2,6606,1,3095,3552,3952,457,857,9134,37140,47424
Human Services Case Manager,6630,1,3790,4425,4943,635,1153,10848,45480,59316
Human Services Specialist 1,6657,1,3005,3427,3784,422,779,8912,36060,45408
Human Services Specialist 2,6658,1,3218,3709,4118,491,900,9437,38616,49416
Human Services Specialist 3,6659,1,3483,4036,4498,553,1015,10091,41796,53976
Human Services Specialist 4,6660,1,3964,4425,4943,461,979,11277,47568,59316
Incident Response Operations Specialist,4165,1,3629,4222,4715,593,1086,10451,43548,56580
Industrial Hygienist 2,5706,1,5019,5598,6245,579,1226,13879,60228,74940
Industrial Hygienist 3,5707,1,5503,6146,6866,643,1363,15073,66036,82392
Industrial Hygienist 4,5708,1,6051,6763,7562,712,1511,16424,72612,90744
Information Systems Specialist 2,1483,1,3790,4425,4943,635,1153,10848,45480,59316
Information Systems Specialist 3,1483,1,4356,4851,5420,495,1064,12244,52272,65040
Information Systems Specialist 4,1484,1,4555,5086,5695,531,1140,12735,54660,68340
Information Systems Specialist 5,1485,1,5256,5861,6549,605,1293,14464,63072,78588
Information Systems Specialist 6,1486,1,5503,6146,6866,643,1363,15073,66036,82392
Information Systems Specialist 7,1487,1,5503,6146,6866,643,1363,15073,66036,82392
Information Systems Specialist 8,1488,1,6051,6763,7562,712,1511,16424,72612,90744
Institution Registered Nurse,6314,1,6756,7534,8409,778,1653,18163,81072,100908
Insurance Examiner,5748,1,5771,6444,7206,673,1435,15734,69252,86472
Insurance Examiner Entry,5747,1,4776,5345,5964,569,1188,13280,57312,71568
Investigator 1,5331,1,3483,4036,4498,553,1015,10091,41796,53976
Investigator 2,5333,1,4155,4639,5169,484,1014,11748,49860,62028
Investigator 3,5333,1,4776,5345,5964,569,1188,13280,57312,71568
Investment Analyst 1,1333,1,5019,5598,6245,579,1226,13879,60228,74940
Investment Analyst 2,1333,1,5771,6444,7206,673,1435,15734,69252,86472
Investment Analyst 3,1334,1,6664,7436,8314,772,1650,17936,79968,99768
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,1,4356,4851,5420,495,1064,12244,52272,65040
Laboratory Technician 2,6811,1,3218,3709,4118,491,900,9437,38616,49416
Laborer/Student Worker,4116,1,0,,,,,1500,0,
Legal Secretary,110,1,3335,3865,4301,530,966,9726,40020,51612
Librarian,3330,1,4776,5345,5964,569,1188,13280,57312,71568
Licensed Practical Nurse,6135,1,4131,4621,5172,490,1041,11689,49572,62064
Livestock Brand Inspector,5430,1,3005,3427,3784,422,779,8912,36060,45408
Loan Specialist 1,1001,1,4155,4639,5169,484,1014,11748,49860,62028
Loan Specialist 2,1003,1,5019,5598,6245,579,1226,13879,60228,74940
Loan Specialist 3,1003,1,5771,6444,7206,673,1435,15734,69252,86472
Machinist,4018,1,4776,5345,5964,569,1188,13280,57312,71568
Mail Delivery Driver,4404,1,3005,3427,3784,422,779,8912,36060,45408
Mail Equipment Operator 1,403,1,0,,,,,1500,0,
Mail Equipment Operator 2,404,1,3005,3427,3784,422,779,8912,36060,45408
Mail Services Assistant,405,1,0,,,,,1500,0,
Manual Arts Instructor,3304,1,3218,3552,3952,334,734,9437,38616,47424
Medical Consultant,7538,1,8870,9897,11065,1027,2195,23377,106440,132780
Medical Laboratory Technician 1,6830,1,3335,3865,4301,530,966,9726,40020,51612
Medical Laboratory Technician 2,6831,1,3629,4222,4715,593,1086,10451,43548,56580
Medical Review Coordinator,6310,1,6756,7534,8409,778,1653,18163,81072,100908
Mental Health Security Technician,6708,1,3218,3865,4301,647,1083,9437,38616,51612
Mental Health Therapist 1,6711,1,3218,3865,4301,647,1083,9437,38616,51612
Mental Health Therapist 2,6713,1,3483,4222,4715,739,1232,10091,41796,56580
Mental Health Therapy Coordinator,6718,1,3483,4222,4715,739,1232,10091,41796,56580
Mental Health Therapy Technician,6710,1,3005,3552,3952,547,947,8912,36060,47424
Microbiologist 1,3779,1,4155,4639,5169,484,1014,11748,49860,62028
Microbiologist 2,3780,1,4555,5086,5695,531,1140,12735,54660,68340
Microbiologist 3,3781,1,5256,5861,6549,605,1293,14464,63072,78588
Motor Carrier Enforcement Officer 1,5857,1,3790,4425,4943,635,1153,10848,45480,59316
Motor Carrier Enforcement Officer 2,5858,1,4356,4851,5420,495,1064,12244,52272,65040
Natural Resource Specialist 1,8501,1,3790,4425,4943,635,1153,10848,45480,59316
Natural Resource Specialist 2,8503,1,4356,4851,5420,495,1064,12244,52272,65040
Natural Resource Specialist 3,8503,1,5019,5598,6245,579,1226,13879,60228,74940
Natural Resource Specialist 4,8504,1,5771,6444,7206,673,1435,15734,69252,86472
Natural Resource Specialist 5,8505,1,6350,7097,7923,747,1573,17162,76200,95076
Nutrition Consultant,5955,1,5503,6146,6866,643,1363,15073,66036,82392
Occupational Safety Specialist 1,5709,1,3964,4425,4943,461,979,11277,47568,59316
Occupational Safety Specialist 2,5710,1,5019,5598,6245,579,1226,13879,60228,74940
Occupational Safety Specialist 3,5711,1,5503,6146,6866,643,1363,15073,66036,82392
Occupational Therapist,6508,1,6350,7097,7923,747,1573,17162,76200,95076
Office Assistant 1,101,1,0,,,,,1500,0,
Office Assistant 2,103,1,0,,,,,1500,0,
Office Coordinator,801,1,3005,3427,3784,422,779,8912,36060,45408
Office Specialist 1,103,1,0,,,,,1500,0,
Office Specialist 2,104,1,3005,3427,3784,422,779,8912,36060,45408
Operations & Policy Analyst 1,870,1,4155,4639,5169,484,1014,11748,49860,62028
Operations & Policy Analyst 2,871,1,5019,5598,6245,579,1226,13879,60228,74940
Operations & Policy Analyst 3,873,1,5771,6444,7206,673,1435,15734,69252,86472
Operations & Policy Analyst 4,873,1,6350,7097,7923,747,1573,17162,76200,95076
Painter,4001,1,3964,4425,4943,461,979,11277,47568,59316
Paralegal,1534,1,4776,5345,5964,569,1188,13280,57312,71568
Park Ranger 1,8434,1,0,3865,4301,3865,4301,1500,0,51612
Park Ranger 2,8435,1,3629,4222,4715,593,1086,10451,43548,56580
Park Ranger 3,8436,1,3964,4425,4943,461,979,11277,47568,59316
Park Ranger Assistant,8433,1,0,,,,,1500,0,
Park Specialist,8445,1,3218,3709,4118,491,900,9437,38616,49416
Parking Services Representative,5550,1,0,,,,,1500,0,
Parts Specialist 2,783,1,3629,4222,4715,593,1086,10451,43548,56580
Payroll Analyst,314,1,3790,4425,4943,635,1153,10848,45480,59316
Pharmacist,6360,1,8870,9897,11065,1027,2195,23377,106440,132780
Pharmacist 2,6363,1,9751,10908,12187,1157,2436,25550,117012,146244
Pharmacist Resident,6361,1,4155,4639,5169,484,1014,11748,49860,62028
Pharmacy Clerk & Technician 2,6388,1,3095,3709,4118,614,1023,9134,37140,49416
Pharmacy Clerk & Technician 3,6389,1,3218,3865,4301,647,1083,9437,38616,51612
Physical Therapist,6503,1,6051,6763,7562,712,1511,16424,72612,90744
Physical/Electronic Security Technician,4037,1,3629,4222,4715,593,1086,10451,43548,56580
Physical/Electronic Security Technician 3,4039,1,4356,4851,5420,495,1064,12244,52272,65040
Physician's Assistant,6357,1,6664,7436,8314,772,1650,17936,79968,99768
Planner 2,1097,1,5019,5598,6245,579,1226,13879,60228,74940
Plumber,4005,1,4356,4851,5420,495,1064,12244,52272,65040
Preadmissions Screening Specialist,6684,1,4356,4851,5420,495,1064,12244,52272,65040
Print Services Technician,3446,1,3095,3552,3952,457,857,9134,37140,47424
Printing Production Coordinator,3475,1,4155,4639,5169,484,1014,11748,49860,62028
Procurement & Contract Specialist 1,436,1,4155,4639,5169,484,1014,11748,49860,62028
Procurement & Contract Specialist 2,437,1,5019,5598,6245,579,1226,13879,60228,74940
Procurement & Contract Specialist 3,438,1,5503,6146,6866,643,1363,15073,66036,82392
Procurement And Contract Assistant,435,1,3483,4036,4498,553,1015,10091,41796,53976
Program Analyst 1,860,1,4155,4639,5169,484,1014,11748,49860,62028
Program Analyst 2,861,1,5019,5598,6245,579,1226,13879,60228,74940
Program Analyst 3,863,1,5503,6146,6866,643,1363,15073,66036,82392
Program Analyst 4,863,1,6051,6763,7562,712,1511,16424,72612,90744
Project Manager 1,854,1,5019,5598,6245,579,1226,13879,60228,74940
Project Manager 2,855,1,5771,6444,7206,673,1435,15734,69252,86472
Project Manager 3,856,1,6350,7097,7923,747,1573,17162,76200,95076
Psychiatric Social Worker,6730,1,5503,6146,6866,643,1363,15073,66036,82392
Public Affairs Specialist 1,864,1,4555,5086,5695,531,1140,12735,54660,68340
Public Affairs Specialist 2,865,1,5503,6146,6866,643,1363,15073,66036,82392
Public Affairs Specialist 3,866,1,6051,6763,7562,712,1511,16424,72612,90744
Public Health Educator 1,3337,1,4356,4851,5420,495,1064,12244,52272,65040
Public Health Educator 2,3338,1,4776,5345,5964,569,1188,13280,57312,71568
Public Health Nurse 2,6339,1,6756,7534,8409,778,1653,18163,81072,100908
Public Health Toxicologist 1,3433,1,5503,6146,6866,643,1363,15073,66036,82392
Public Service Representative 2,333,1,0,,,,,1500,0,
Public Service Representative 3,333,1,3005,3427,3784,422,779,8912,36060,45408
Public Service Representative 4,334,1,3629,4222,4715,593,1086,10451,43548,56580
Radiologic Technologist,6348,1,4555,5086,5695,531,1140,12735,54660,68340
Rehabilitation Instructor For The Blind,3333,1,4155,4639,5169,484,1014,11748,49860,62028
Rehabilitation Instructor For The Blind (Entry),3333,1,3790,4425,4943,635,1153,10848,45480,59316
Rehabilitation Therapist,6531,1,4356,4851,5420,495,1064,12244,52272,65040
Research Analyst 1,1115,1,3483,4036,4498,553,1015,10091,41796,53976
Research Analyst 2,1116,1,4155,4639,5169,484,1014,11748,49860,62028
Research Analyst 3,1117,1,4776,5345,5964,569,1188,13280,57312,71568
Research Analyst 4,1118,1,5771,6444,7206,673,1435,15734,69252,86472
Retirement Counselor 1,841,1,3629,4222,4715,593,1086,10451,43548,56580
Retirement Counselor 2,843,1,3964,4425,4943,461,979,11277,47568,59316
Revenue Agent 1,5110,1,3218,3709,4118,491,900,9437,38616,49416
Revenue Agent 2,5111,1,3483,3865,4301,382,818,10091,41796,51612
Revenue Agent 3,5113,1,3790,4425,4943,635,1153,10848,45480,59316
Safety Specialist 1,1345,1,4155,4639,5169,484,1014,11748,49860,62028
Safety Specialist 2,1346,1,5019,5598,6245,579,1226,13879,60228,74940
Scientific Instrument Technician,4339,1,3790,4425,4943,635,1153,10848,45480,59316
Seamster,9301,1,3005,3552,3952,547,947,8912,36060,47424
Securities Examiner,5671,1,5771,6444,7206,673,1435,15734,69252,86472
Shipping Point Inspector 1,5450,1,3005,3427,3784,422,779,8912,36060,45408
Shipping Point Inspector 2,5451,1,3218,3709,4118,491,900,9437,38616,49416
Sign Technician 1,4131,1,3483,4036,4498,553,1015,10091,41796,53976
Social Service Assistant,6609,1,3218,3709,4118,491,900,9437,38616,49416
Social Service Specialist 1,6613,1,4555,5086,5695,531,1140,12735,54660,68340
Social Services Specialist 2,6613,1,5019,5598,6245,579,1226,13879,60228,74940
State Library Specialist 1,351,1,0,,,,,1500,0,
State Library Specialist 2,353,1,3335,3865,4301,530,966,9726,40020,51612
State Procurement Analyst,770,1,5771,6444,7206,673,1435,15734,69252,86472
Student Office Worker,100,1,0,4301,4301,4301,4301,1500,0,51612
Supply Specialist 1,758,1,0,,,,,1500,0,
Supply Specialist 2,759,1,3629,4222,4715,593,1086,10451,43548,56580
Tax Auditor 1,5631,1,4555,5086,5695,531,1140,12735,54660,68340
Tax Auditor 2,5633,1,5256,5861,6549,605,1293,14464,63072,78588
Tax Auditor/Entry,5630,1,3629,4222,4715,593,1086,10451,43548,56580
Teaching Assistant,3303,1,3005,3427,3784,422,779,8912,36060,45408
Traffic Survey Interviewer,1105,1,0,,,,,1500,0,
Training & Development Specialist 1,1338,1,4155,4639,5169,484,1014,11748,49860,62028
Training & Development Specialist 2,1339,1,5019,5598,6245,579,1226,13879,60228,74940
Transportation Maintenance Coordinator 1,4161,1,3790,4425,4943,635,1153,10848,45480,59316
Transportation Maintenance Coordinator 2,4163,1,3964,4425,4943,461,979,11277,47568,59316
Transportation Maintenance Specialist 1,4151,1,3218,3709,4118,491,900,9437,38616,49416
Transportation Maintenance Specialist 2,4153,1,3483,4036,4498,553,1015,10091,41796,53976
Transportation Maintenance Specialist Entry,4150,1,0,,,,,1500,0,
Transportation Services Office Leader,333,1,3790,4425,4943,635,1153,10848,45480,59316
Transportation Services Representative 1,331,1,3218,3709,4118,491,900,9437,38616,49416
Transportation Services Representative 2,333,1,3483,4036,4498,553,1015,10091,41796,53976
Transportation Telecommunications Specialist 1,4166,1,3629,4222,4715,593,1086,10451,43548,56580
Transportation Telecommunications Specialist 2,4167,1,3964,4425,4943,461,979,11277,47568,59316
Transporter,4403,1,0,,,,,1500,0,
Transporting Mental Health Aide,6101,1,3218,3865,4301,647,1083,9437,38616,51612
Truck Driver 1,4401,1,3218,3709,4118,491,900,9437,38616,49416
Truck Driver 2,4403,1,3629,4222,4715,593,1086,10451,43548,56580
Veterans Service Officer,799,1,4155,4639,5169,484,1014,11748,49860,62028
Veterans Trust Officer,784,1,4155,4639,5169,484,1014,11748,49860,62028
Video Producer,3176,1,5256,5861,6549,605,1293,14464,63072,78588
Vocational Rehabilitation Counselor,6647,1,4555,5086,5695,531,1140,12735,54660,68340
Vocational Rehabilitation Counselor Entry,6646,1,3629,4036,4498,407,869,10451,43548,53976
Vocational Rehabilitation Specialist,6648,1,4776,5345,5964,569,1188,13280,57312,71568
Water Resource Data Technician 1,8510,1,3483,3865,4301,382,818,10091,41796,51612
Water Resource Data Technician 2,8511,1,3790,4425,4943,635,1153,10848,45480,59316
Wildland Fire Dispatcher,8364,1,3005,3427,3784,422,779,8912,36060,45408
Wildland Fire Dispatcher Entry,8363,1,0,,,,,1500,0,
Wildland Fire Suppression Specialist,8355,1,3218,3709,4118,491,900,9437,38616,49416
Wildland Fire Suppression Specialist Entry,8354,1,0,,,,,1500,0,
Word Processing Technician 2,531,1,0,,,,,1500,0,
Word Processing Technician 3,533,1,3095,3552,3952,457,857,9134,37140,47424
Youth Corrections Unit Coordinator,6755,1,4155,4639,5169,484,1014,11748,49860,62028
Accountant 1,1316,2,4356,4851,5420,495,1064,12244,52272,65040
Accountant 2,1317,2,5256,5861,6549,605,1293,14464,63072,78588
Accountant 3,1318,2,6051,6763,7562,712,1511,16424,72612,90744
Accounting Technician,313,2,3629,4036,4498,407,869,10451,43548,53976
Activities Coordinator,6530,2,3629,4222,4715,593,1086,10451,43548,56580
Administrative Law Judge 1,1510,2,6051,6763,7562,712,1511,16424,72612,90744
Administrative Law Judge 2,1511,2,6982,7803,8713,821,1731,18721,83784,104556
Administrative Law Judge 3,1513,2,8450,9447,10545,997,2095,22341,101400,126540
Administrative Specialist 1,107,2,3335,3709,4118,374,783,9726,40020,49416
Administrative Specialist 2,108,2,3790,4222,4715,432,925,10848,45480,56580
Adult Protective Service Specialist,6616,2,4776,5345,5964,569,1188,13280,57312,71568
Aerial Photographer,3540,2,4555,5086,5695,531,1140,12735,54660,68340
Aircraft Pilot,8333,2,5256,5861,6549,605,1293,14464,63072,78588
Appraiser Analyst 1,735,2,3483,3865,4301,382,818,10091,41796,51612
Appraiser Analyst 2,736,2,4776,5345,5964,569,1188,13280,57312,71568
Appraiser Analyst 3,737,2,5503,6146,6866,643,1363,15073,66036,82392
Appraiser Analyst 4,738,2,6350,7097,7923,747,1573,17162,76200,95076
Apprenticeship Representative,4380,2,4356,4851,5420,495,1064,12244,52272,65040
Automotive Fleet Attendant,4417,2,3005,3427,3784,422,779,8912,36060,45408
Automotive Technician 1,4418,2,3629,4036,4498,407,869,10451,43548,53976
Automotive Technician 2,4419,2,4356,4851,5420,495,1064,12244,52272,65040
Behavioral Health Specialist 1,6531,2,4555,5086,5695,531,1140,12735,54660,68340
Behavioral Health Specialist 2,6534,2,5256,5861,6549,605,1293,14464,63072,78588
Behavioral Health Specialist 3,6535,2,5771,6444,7206,673,1435,15734,69252,86472
Biological Science Assistant,3769,2,0,,,,,1500,0,
Business & Employment Specialist 2,6699,2,3964,4425,4943,461,979,11277,47568,59316
Carpenter,4003,2,4155,4639,5169,484,1014,11748,49860,62028
Certified Occupation Therapist Assistant,6506,2,3790,4425,4943,635,1153,10848,45480,59316
Chaplain,6680,2,4555,5086,5695,531,1140,12735,54660,68340
Chemist 1,3715,2,4555,5086,5695,531,1140,12735,54660,68340
Chemist 2,3716,2,5019,5598,6245,579,1226,13879,60228,74940
Chemist 3,3717,2,5771,6444,7206,673,1435,15734,69252,86472
Child Nutrition Specialist,5950,2,5503,6146,6866,643,1363,15073,66036,82392
Child Support Case Manager,5139,2,3964,4425,4943,461,979,11277,47568,59316
Child Support Case Manager Entry,5138,2,3629,4036,4498,407,869,10451,43548,53976
Child Support Specialist,5133,2,4356,4851,5420,495,1064,12244,52272,65040
Civil Engineering Specialist 1,3136,2,4776,5345,5964,569,1188,13280,57312,71568
Civil Rights Investigator 1,5340,2,3964,4425,4943,461,979,11277,47568,59316
Civil Rights Investigator 2,5341,2,5019,5598,6245,579,1226,13879,60228,74940
Claims Representative 1,5307,2,4155,4639,5169,484,1014,11748,49860,62028
Claims Representative 2,5308,2,4555,5086,5695,531,1140,12735,54660,68340
Client Care Surveyor,6685,2,5503,6146,6866,643,1363,15073,66036,82392
Clinical Laboratory Scientist,6833,2,4555,5086,5695,531,1140,12735,54660,68340
Clinical Psychologist 1,6394,2,6982,7803,8713,821,1731,18721,83784,104556
