Position,Classification_Code,Starting step,Coalition,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Claims Representative 2,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Client Care Surveyor,,1,Strikeable,5256,5861,6549,605,1293,63072,78588
Clinical Laboratory Scientist,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Clinical Psychologist 1,,1,Strikeable,6664,7436,8314,772,1650,79968,99768
Clinical Psychologist 2,,1,Strikeable,7327,8177,9143,850,1816,87924,109716
Communicable Disease Analyst,,1,Strikeable,3964,4425,4943,461,979,47568,59316
Community Outreach Specialist,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Compliance Specialist 1,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Compliance Specialist 2,,1,Strikeable,4555,5086,5695,531,1140,54660,68340
Compliance Specialist 3,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Construction Inspector,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Construction Project Manager 1,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Construction Project Manager 2,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Construction Project Manager 3,,1,Strikeable,6350,7097,7923,747,1573,76200,95076
Cook,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Custodial Services Coordinator,,1,Strikeable,0,,,,,0,
Custodian,,1,Strikeable,0,,,,,0,
Data Entry Control Technician,,1,Strikeable,0,,,,,0,
Data Entry Operator,,1,Strikeable,0,,,,,0,
Dental Assistant 2,,1,Strikeable,3629,4425,4943,796,1314,43548,59316
Dental Hygienist,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Dietitian 2,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Disability Analyst 1,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Disability Analyst 2,,1,Strikeable,4555,5086,5695,531,1140,54660,68340
District Veterinarian,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
DOJ Claims Examiner,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Dormitory Counselor 1,,1,Strikeable,3095,3552,3952,457,857,37140,47424
Dormitory Counselor 2,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Economist 1,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Economist 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Economist 3,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Economist 4,,1,Strikeable,6664,7436,8314,772,1650,79968,99768
Education Program Specialist 1,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Education Program Specialist 2,,1,Strikeable,6664,7436,8314,772,1650,79968,99768
Electrician 2,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Electrician 3,,1,Strikeable,5256,5861,6549,605,1293,63072,78588
Electronic Publishing Design Specialist 1,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Electronic Publishing Design Specialist 2,,1,Strikeable,3964,4425,4943,461,979,47568,59316
Electronic Publishing Design Specialist 3,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Electronic Security Technician 2,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Employment Adjudicator,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Employment Appeals Board Legal Staff,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Engineering Technician 2,,1,Strikeable,3483,4036,4498,553,1015,41796,53976
Engineering Technician 3,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Environmental Engineer 2,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Environmental Engineer 3,,1,Strikeable,6664,7436,8314,772,1650,79968,99768
Environmental Health Specialist 3,,1,Strikeable,5256,5861,6549,605,1293,63072,78588
Epidemiologist 1,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Epidemiologist 2,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Epidemiologist 3,,1,Strikeable,6350,7097,7923,747,1573,76200,95076
Equipment Operator,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Executive Assistant,,1,Strikeable,4555,5086,5695,531,1140,54660,68340
Executive Support Specialist 1,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Executive Support Specialist 2,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Facilities Engineer 1,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Facilities Engineer 3,,1,Strikeable,6664,7436,8314,772,1650,79968,99768
Facility Energy Technician 2,,1,Strikeable,3964,4425,4943,461,979,47568,59316
Facility Energy Technician 3,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Facility Energy Technician 4,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Facility Maintenance Specialist,,1,Strikeable,3335,3865,4301,530,966,40020,51612
Facility Operations Specialist 1,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Facility Operations Specialist 2,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Financial Enforcement Officer,,1,Strikeable,6350,7097,7923,747,1573,76200,95076
Financial Examiner 1,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Financial Examiner 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Financial Examiner 3,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Financial Investigator 1,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Fiscal Analyst 1,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Fiscal Analyst 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Fiscal Analyst 3,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Fiscal Auditor 1,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Fish and Wildlife Technical Coordinator,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Fish and Wildlife Technician,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Fish and Wildlife Technician Entry,,1,Strikeable,0,,,,,0,
Fish and Wildlife Technician Senior,,1,Strikeable,3483,3865,4301,382,818,41796,51612
Food Service Worker,,1,Strikeable,0,,,,,0,
Forest Crew Coordinator,,1,Strikeable,3483,4036,4498,553,1015,41796,53976
Forest Lookout,,1,Strikeable,0,,,,,0,
Forest Management Technician,,1,Strikeable,3095,3552,3952,457,857,37140,47424
Forest Officer,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Geologist 2,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Governmental Auditor 1,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Governmental Auditor 2,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Governmental Auditor 3,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Grounds Maintenance Worker 1,,1,Strikeable,0,,,,,0,
Grounds Maintenance Worker 2,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Group Life Coordinator 1,,1,Strikeable,3005,3552,3952,547,947,36060,47424
Group Life Coordinator 2,,1,Strikeable,3483,4222,4715,739,1232,41796,56580
Hairdresser,,1,Strikeable,0,,,,,0,
Health Care Investigator/Advisor,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Health Information Specialist,,1,Strikeable,3335,3865,4301,530,966,40020,51612
Heavy Equipment Technician 1,,1,Strikeable,0,,,,,0,
Heavy Equipment Technician 2,,1,Strikeable,0,,,,,0,
Human Services Assistant 2,,1,Strikeable,3095,3427,3784,332,689,37140,45408
Human Services Case Manager,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Human Services Specialist 1,,1,Strikeable,3005,3427,3784,422,779,36060,45408
Human Services Specialist 2,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Human Services Specialist 3,,1,Strikeable,3483,4036,4498,553,1015,41796,53976
Human Services Specialist 4,,1,Strikeable,3964,4425,4943,461,979,47568,59316
Incident Response Operations Specialist,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Industrial Hygienist 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Industrial Hygienist 3,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Industrial Hygienist 4,,1,Strikeable,6051,6763,7562,712,1511,72612,90744
Information Systems Specialist 2,,1,Strikeable,3836,4474,4987,638,1151,46032,59844
Information Systems Specialist 3,,1,Strikeable,4388,4896,5463,508,1075,52656,65556
Information Systems Specialist 4,,1,Strikeable,4762,5306,5917,544,1155,57144,71004
Information Systems Specialist 5,,1,Strikeable,5315,5929,6610,614,1295,63780,79320
Information Systems Specialist 6,,1,Strikeable,5683,6337,7070,654,1387,68196,84840
Information Systems Specialist 7,,1,Strikeable,6296,7018,7828,722,1532,75552,93936
Information Systems Specialist 8,,1,Strikeable,6857,7646,8531,789,1674,82284,102372
Institution Registered Nurse,,1,Strikeable,6756,7534,8409,778,1653,81072,100908
Insurance Examiner,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Insurance Examiner Entry,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Investigator 1,,1,Strikeable,3483,4036,4498,553,1015,41796,53976
Investigator 2,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Investigator 3,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Investment Analyst 1,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Investment Analyst 2,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Investment Analyst 3,,1,Strikeable,6664,7436,8314,772,1650,79968,99768
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Laboratory Technician 2,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Laborer/Student Worker,,1,Strikeable,0,,,,,0,
Legal Secretary,,1,Strikeable,3335,3865,4301,530,966,40020,51612
Librarian,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Licensed Practical Nurse,,1,Strikeable,4131,4621,5172,490,1041,49572,62064
Livestock Brand Inspector,,1,Strikeable,3005,3427,3784,422,779,36060,45408
Loan Specialist 1,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Loan Specialist 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Loan Specialist 3,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Machinist,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Mail Delivery Driver,,1,Strikeable,3005,3427,3784,422,779,36060,45408
Mail Equipment Operator 1,,1,Strikeable,0,,,,,0,
Mail Equipment Operator 2,,1,Strikeable,3005,3427,3784,422,779,36060,45408
Mail Services Assistant,,1,Strikeable,0,,,,,0,
Manual Arts Instructor,,1,Strikeable,3218,3552,3952,334,734,38616,47424
Medical Consultant,,1,Strikeable,8870,9897,11065,1027,2195,106440,132780
Medical Laboratory Technician 1,,1,Strikeable,3335,3865,4301,530,966,40020,51612
Medical Laboratory Technician 2,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Medical Review Coordinator,,1,Strikeable,6756,7534,8409,778,1653,81072,100908
Mental Health Security Technician,,1,Strikeable,3218,3865,4301,647,1083,38616,51612
Mental Health Therapist 1,,1,Strikeable,3218,3865,4301,647,1083,38616,51612
Mental Health Therapist 2,,1,Strikeable,3483,4222,4715,739,1232,41796,56580
Mental Health Therapy Coordinator,,1,Strikeable,3483,4222,4715,739,1232,41796,56580
Mental Health Therapy Technician,,1,Strikeable,3005,3552,3952,547,947,36060,47424
Microbiologist 1,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Microbiologist 2,,1,Strikeable,4555,5086,5695,531,1140,54660,68340
Microbiologist 3,,1,Strikeable,5256,5861,6549,605,1293,63072,78588
Motor Carrier Enforcement Officer 1,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Motor Carrier Enforcement Officer 2,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Natural Resource Specialist 1,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Natural Resource Specialist 2,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Natural Resource Specialist 3 pay option A ,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Natural Resource Specialist 3 pay option B Hydrogeologist,,1,Strikeable,5256,5861,6549,605,1293,63072,78588
Natural Resource Specialist 3 pay option D Hydrogeologist,,1,Strikeable,5256,5861,6549,605,1293,63072,78588
Natural Resource Specialist 4 pay option A,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Natural Resource Specialist 4 pay option B Hydrogeologist,,1,Strikeable,6051,6763,7562,712,1511,72612,90744
Natural Resource Specialist 4 pay Option C Toxicologist ,,1,Strikeable,6051,6763,7562,712,1511,72612,90744
Natural Resource Specialist 4 Pay Option D Registered Sanitarian,,1,Strikeable,6051,6763,7562,712,1511,72612,90744
Natural Resource Specialist 5 Pay Option A,,1,Strikeable,6350,7097,7923,747,1573,76200,95076
Natural Resource Specialist 5 Pay Option B Hydrogeologist,,1,Strikeable,6664,7436,8314,772,1650,79968,99768
Nutrition Consultant,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Occupational Safety Specialist 1,,1,Strikeable,3964,4425,4943,461,979,47568,59316
Occupational Safety Specialist 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Occupational Safety Specialist 3,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Occupational Therapist,,1,Strikeable,6350,7097,7923,747,1573,76200,95076
Office Assistant 1,,1,Strikeable,0,,,,,0,
Office Assistant 2,,1,Strikeable,0,,,,,0,
Office Coordinator,,1,Strikeable,3005,3427,3784,422,779,36060,45408
Office Specialist 1,,1,Strikeable,0,,,,,0,
Office Specialist 2,,1,Strikeable,3005,3427,3784,422,779,36060,45408
Operations & Policy Analyst 1,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Operations & Policy Analyst 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Operations & Policy Analyst 3,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Operations & Policy Analyst 4,,1,Strikeable,6350,7097,7923,747,1573,76200,95076
Painter,,1,Strikeable,3964,4425,4943,461,979,47568,59316
Paralegal,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Park Ranger 1,,1,Strikeable,0,3865,4301,3865,4301,0,51612
Park Ranger 2,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Park Ranger 3,,1,Strikeable,3964,4425,4943,461,979,47568,59316
Park Ranger Assistant,,1,Strikeable,0,,,,,0,
Park Specialist,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Parking Services Representative,,1,Strikeable,0,,,,,0,
Parts Specialist 2,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Payroll Analyst,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Pharmacist,,1,Strikeable,8870,9897,11065,1027,2195,106440,132780
Pharmacist 2,,1,Strikeable,9751,10908,12187,1157,2436,117012,146244
Pharmacist Resident,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Pharmacy Clerk & Technician 2,,1,Strikeable,3095,3709,4118,614,1023,37140,49416
Pharmacy Clerk & Technician 3,,1,Strikeable,3218,3865,4301,647,1083,38616,51612
Physical Therapist,,1,Strikeable,6051,6763,7562,712,1511,72612,90744
Physical/Electronic Security Technician,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Physical/Electronic Security Technician 3,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Physician's Assistant,,1,Strikeable,6664,7436,8314,772,1650,79968,99768
Planner 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Plumber,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Preadmissions Screening Specialist,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Print Services Technician,,1,Strikeable,3095,3552,3952,457,857,37140,47424
Printing Production Coordinator,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Procurement & Contract Specialist 1,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Procurement & Contract Specialist 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Procurement & Contract Specialist 3,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Procurement And Contract Assistant,,1,Strikeable,3483,4036,4498,553,1015,41796,53976
Program Analyst 1,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Program Analyst 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Program Analyst 3,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Program Analyst 4,,1,Strikeable,6051,6763,7562,712,1511,72612,90744
Project Manager 1,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Project Manager 2,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Project Manager 3,,1,Strikeable,6350,7097,7923,747,1573,76200,95076
Psychiatric Social Worker,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Public Affairs Specialist 1,,1,Strikeable,4555,5086,5695,531,1140,54660,68340
Public Affairs Specialist 2,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Public Affairs Specialist 3,,1,Strikeable,6051,6763,7562,712,1511,72612,90744
Public Health Educator 1,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Public Health Educator 2,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Public Health Nurse 2,,1,Strikeable,6756,7534,8409,778,1653,81072,100908
Public Health Toxicologist 1,,1,Strikeable,5503,6146,6866,643,1363,66036,82392
Public Service Representative 2,,1,Strikeable,0,,,,,0,
Public Service Representative 3,,1,Strikeable,3005,3427,3784,422,779,36060,45408
Public Service Representative 4,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Radiologic Technologist,,1,Strikeable,4555,5086,5695,531,1140,54660,68340
Rehabilitation Instructor For The Blind,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Rehabilitation Instructor For The Blind (Entry),,1,Strikeable,3790,4222,4715,432,925,45480,56580
Rehabilitation Therapist,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Research Analyst 1,,1,Strikeable,3483,4036,4498,553,1015,41796,53976
Research Analyst 2,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Research Analyst 3,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Research Analyst 4,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Retirement Counselor 1,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Retirement Counselor 2,,1,Strikeable,3964,4425,4943,461,979,47568,59316
Revenue Agent 1,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Revenue Agent 2,,1,Strikeable,3483,3865,4301,382,818,41796,51612
Revenue Agent 3,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Safety Specialist 1,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Safety Specialist 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
Scientific Instrument Technician,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Seamster,,1,Strikeable,3005,3552,3952,547,947,36060,47424
Securities Examiner,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Shipping Point Inspector 1,,1,Strikeable,3005,3427,3784,422,779,36060,45408
Shipping Point Inspector 2,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Sign Technician 1,,1,Strikeable,3483,4036,4498,553,1015,41796,53976
Social Service Assistant,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Social Service Specialist 1,,1,Strikeable,4555,5086,5695,531,1140,54660,68340
Social Services Specialist 2,,1,Strikeable,5019,5598,6245,579,1226,60228,74940
State Library Specialist 1,,1,Strikeable,0,,,,,0,
State Library Specialist 2,,1,Strikeable,3335,3865,4301,530,966,40020,51612
State Procurement Analyst,,1,Strikeable,5771,6444,7206,673,1435,69252,86472
Student Office Worker,,1,Strikeable,0,4036,4301,4036,4301,0,51612
Supply Specialist 1,,1,Strikeable,0,,,,,0,
Supply Specialist 2,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Tax Auditor 1,,1,Strikeable,4555,5086,5695,531,1140,54660,68340
Tax Auditor 2,,1,Strikeable,5256,5861,6549,605,1293,63072,78588
Tax Auditor/Entry,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Teaching Assistant,,1,Strikeable,3005,3427,3784,422,779,36060,45408
Traffic Survey Interviewer,,1,Strikeable,0,,,,,0,
Training & Development Specialist 1,,1,Strikeable,4356,4851,5420,495,1064,52272,65040
Training & Development Specialist 2,,1,Strikeable,5256,5861,6549,605,1293,63072,78588
Transportation Maintenance Coordinator 2,,1,Strikeable,3964,4425,4943,461,979,47568,59316
Transportation Maintenance Specialist 1,,1,Strikeable,3335,3865,4301,530,966,40020,51612
Transportation Maintenance Specialist 2,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Transportation Maintenance Specialist Entry,,1,Strikeable,0,,,,,0,
Transportation Services Office Leader,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Transportation Services Representative 1,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Transportation Services Representative 2,,1,Strikeable,3483,4036,4498,553,1015,41796,53976
Transportation Telecommunications Specialist 1,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Transportation Telecommunications Specialist 2,,1,Strikeable,3964,4425,4943,461,979,47568,59316
Transporter,,1,Strikeable,0,,,,,0,
Transporting Mental Health Aide,,1,Strikeable,3218,3865,4301,647,1083,38616,51612
Truck Driver 1,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Truck Driver 2,,1,Strikeable,3629,4222,4715,593,1086,43548,56580
Veterans Service Officer,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Veterans Trust Officer,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Video Producer,,1,Strikeable,5256,5861,6549,605,1293,63072,78588
Vocational Rehabilitation Counselor,,1,Strikeable,4555,5086,5695,531,1140,54660,68340
Vocational Rehabilitation Counselor Entry,,1,Strikeable,3629,4036,4498,407,869,43548,53976
Vocational Rehabilitation Specialist,,1,Strikeable,4776,5345,5964,569,1188,57312,71568
Water Resource Data Technician 1,,1,Strikeable,3483,3865,4301,382,818,41796,51612
Water Resource Data Technician 2,,1,Strikeable,3790,4425,4943,635,1153,45480,59316
Wildland Fire Dispatcher,,1,Strikeable,3005,3427,3784,422,779,36060,45408
Wildland Fire Dispatcher Entry,,1,Strikeable,0,4036,4301,4036,4301,0,51612
Wildland Fire Suppression Specialist,,1,Strikeable,3218,3709,4118,491,900,38616,49416
Wildland Fire Suppression Specialist Entry,,1,Strikeable,0,,,,,0,
Word Processing Technician 2,,1,Strikeable,0,,,,,0,
Word Processing Technician 3,,1,Strikeable,3095,3552,3952,457,857,37140,47424
Youth Corrections Unit Coordinator,,1,Strikeable,4155,4639,5169,484,1014,49860,62028
Accountant 1,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Accounting Technician,,1,Non-Strikeable,3780,4417.62,4289.38335,638,509,45360,51473
Activities Coordinator,,1,Non-Strikeable,3780,4618.905,4289.38335,839,509,45360,51473
Administrative Specialist 1,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
Administrative Specialist 2,,1,Non-Strikeable,3959,4618.905,4492.504943,660,534,47508,53910
Apprenticeship Representative,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Automotive Fleet Attendant,,1,Non-Strikeable,3114,3550.71,3533.634855,437,420,37368,42404
Automotive Technician 1,,1,Non-Strikeable,3780,4417.62,4289.38335,638,509,45360,51473
Automotive Technician 2,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Behavioral Health Specialist 3,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Biological Science Assistant,,1,Non-Strikeable,0,,0,,0,0,0
Business & Employment Specialist 2,,1,Non-Strikeable,4148,4618.905,4706.97411,471,559,49776,56484
Certified Occupation Therapist Assistant,,1,Non-Strikeable,3959,4842.555,4492.504943,884,534,47508,53910
Chemist 3,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Child Support Case Manager,,1,Non-Strikeable,4148,4842.555,4706.97411,695,559,49776,56484
Child Support Case Manager Entry,,1,Non-Strikeable,3780,4417.62,4289.38335,638,509,45360,51473
Child Support Specialist,,1,Non-Strikeable,4547,5075.79,5159.742353,529,613,54564,61917
Civil Rights Investigator 1,,1,Non-Strikeable,4148,4842.555,4706.97411,695,559,49776,56484
Compliance Specialist 1,,1,Non-Strikeable,4148,4842.555,4706.97411,695,559,49776,56484
Compliance Specialist 3,,1,Non-Strikeable,5920,6608.325,6717.7644,688,798,71040,80613
Cook,,1,Non-Strikeable,3477,4025.7,3945.551828,549,469,41724,47347
