Position,Classification_Code,Current lowest step
Rehabilitation Instructor For The Blind,3333,1
Rehabilitation Instructor For The Blind (Entry),3333,1
Rehabilitation Therapist,6531,1
Research Analyst 1,1115,1
Research Analyst 2,1116,1
Research Analyst 3,1117,1
Research Analyst 4,1118,1
Retirement Counselor 1,841,1
Retirement Counselor 2,843,1
Revenue Agent 1,5110,1
Revenue Agent 2,5111,1
Revenue Agent 3,5113,1
Safety Specialist 1,1345,1
Safety Specialist 2,1346,1
Scientific Instrument Technician,4339,1
Seamster,9301,1
Securities Examiner,5671,1
Shipping Point Inspector 1,5450,1
Shipping Point Inspector 2,5451,1
Sign Technician 1,4131,1
Social Service Assistant,6609,1
Social Service Specialist 1,6613,1
Social Services Specialist 2,6613,1
State Library Specialist 1,351,4
State Library Specialist 2,353,1
State Procurement Analyst,770,1
Student Office Worker,100,9
Supply Specialist 1,758,2
Supply Specialist 2,759,1
Tax Auditor 1,5631,1
Tax Auditor 2,5633,1
Tax Auditor/Entry,5630,1
Teaching Assistant,3303,1
Traffic Survey Interviewer,1105,8
Training & Development Specialist 1,1338,1
Training & Development Specialist 2,1339,1
Transportation Maintenance Coordinator 2,4163,1
Transportation Maintenance Specialist 1,4151,1
Transportation Maintenance Specialist 2,4153,1
Transportation Maintenance Specialist Entry,4150,5
Transportation Services Office Leader,333,1
Transportation Services Representative 1,331,1
Transportation Services Representative 2,333,1
Transportation Telecommunications Specialist 1,4166,1
Transportation Telecommunications Specialist 2,4167,1
Transporter,4403,5
Transporting Mental Health Aide,6101,1
Truck Driver 1,4401,1
Truck Driver 2,4403,1
Veterans Service Officer,799,1
Veterans Trust Officer,784,1
Video Producer,3176,1
Vocational Rehabilitation Counselor,6647,1
Vocational Rehabilitation Counselor Entry,6646,1
Vocational Rehabilitation Specialist,6648,1
Water Resource Data Technician 1,8510,1
Water Resource Data Technician 2,8511,1
Wildland Fire Dispatcher,8364,1
Wildland Fire Dispatcher Entry,8363,9
Wildland Fire Suppression Specialist,8355,1
Wildland Fire Suppression Specialist Entry,8354,3
Word Processing Technician 2,531,2
Word Processing Technician 3,533,1
Youth Corrections Unit Coordinator,6755,1
