Position,Classification_Code,Starting step,Current monthly pay,2024 monthly pay,2025 monthly pay,2024 monthly difference (2024-current),2025 monthly difference (2025 - current),Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract
Chemist 2,3716,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Chemist 3,3717,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Child Nutrition Specialist,5950,1,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Child Support Case Manager,5139,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Child Support Case Manager Entry,5138,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Child Support Specialist,5133,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Civil Engineering Specialist 1,3136,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Civil Rights Investigator 1,5340,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Civil Rights Investigator 2,5341,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Claims Representative 1,5307,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Claims Representative 2,5308,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Client Care Surveyor,6685,1,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Clinical Laboratory Scientist,6833,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Clinical Psychologist 1,6394,1,6664,7444,8320,780,1656,"$17,936 ",79968,99840
Clinical Psychologist 2,6395,1,7327,8185,9149,858,1822,"$19,571 ",87924,109788
Communicable Disease Analyst,5903,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Community Outreach Specialist,6614,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Compliance Specialist 1,5346,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Compliance Specialist 2,5347,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Compliance Specialist 3,5348,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Construction Inspector,3365,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Construction Project Manager 1,3367,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Construction Project Manager 2,3368,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Construction Project Manager 3,3369,1,6664,7444,8320,780,1656,"$17,936 ",79968,99840
Cook,9117,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Custodial Services Coordinator,4103,1,0,,,,,"$1,500 ",0,
Custodian,4101,1,0,,,,,"$1,500 ",0,
Data Entry Control Technician,1475,1,0,,,,,"$1,500 ",0,
Data Entry Operator,501,1,0,,,,,"$1,500 ",0,
Dental Assistant 2,6394,1,3629,4440,4955,811,1326,"$10,451 ",43548,59460
Dental Hygienist,6396,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Dietitian 2,6371,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Disability Analyst 1,5936,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Disability Analyst 2,5937,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Disability Analyst 2,5937,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
District Veterinarian,6440,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
DOJ Claims Examiner,5933,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Dormitory Counselor 1,6767,1,3095,3592,3995,497,900,"$9,134 ",37140,47940
Dormitory Counselor 2,6768,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Economist 1,1161,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Economist 2,1163,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Economist 3,1163,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Economist 4,1164,1,6664,7444,8320,780,1656,"$17,936 ",79968,99840
Education Program Specialist 1,3300,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Education Program Specialist 2,3301,1,6664,7444,8320,780,1656,"$17,936 ",79968,99840
Electrician 2,4008,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Electrician 3,4009,1,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Electronic Publishing Design Specialist 1,3510,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Electronic Publishing Design Specialist 2,3511,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Electronic Publishing Design Specialist 3,3513,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Electronic Security Technician 2,4051,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Employment Adjudicator,6693,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Employment Appeals Board Legal Staff,1543,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Engineering Technician 2,3110,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Engineering Technician 3,3111,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Environmental Engineer 2,3411,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Environmental Engineer 3,3413,1,6664,7444,8320,780,1656,"$17,936 ",79968,99840
Environmental Health Specialist 3,3819,1,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Epidemiologist 1,6316,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Epidemiologist 2,6317,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Epidemiologist 3,6318,1,6350,7093,7926,743,1576,"$17,162 ",76200,95112
Equipment Operator,4433,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Executive Assistant,830,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Executive Support Specialist 1,118,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Executive Support Specialist 2,119,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Facilities Engineer 1,3351,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Facilities Engineer 3,3353,1,6664,7444,8320,780,1656,"$17,936 ",79968,99840
Facility Energy Technician 2,4033,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Facility Energy Technician 3,4034,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Facility Energy Technician 4,4035,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Facility Maintenance Specialist,4013,1,3335,3890,4337,555,1002,"$9,726 ",40020,52044
Facility Operations Specialist 1,4014,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Facility Operations Specialist 2,4015,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Financial Enforcement Officer,1547,1,6350,7093,7926,743,1576,"$17,162 ",76200,95112
Financial Examiner 1,5675,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Financial Examiner 2,5676,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Financial Examiner 3,5677,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Financial Investigator 1,5335,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Fiscal Analyst 1,1343,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Fiscal Analyst 2,1344,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Fiscal Analyst 3,1345,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Fiscal Auditor 1,5641,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Fish and Wildlife Technical Coordinator,8346,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Fish and Wildlife Technician,8341,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Fish and Wildlife Technician,8341,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Fish and Wildlife Technician Entry,8340,1,0,,,,,"$1,500 ",0,
Fish and Wildlife Technician Senior,8343,1,3483,3883,4331,400,848,"$10,091 ",41796,51972
Food Service Worker,9103,1,0,,,,,"$1,500 ",0,
Food Service Worker,9103,1,0,,,,,"$1,500 ",0,
Forest Crew Coordinator,8318,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Forest Lookout,8353,1,0,,,,,"$1,500 ",0,
Forest Management Technician,8311,1,3095,3592,3995,497,900,"$9,134 ",37140,47940
Forest Officer,8357,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Geologist 2,3531,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Governmental Auditor 1,5646,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Governmental Auditor 2,5647,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Governmental Auditor 3,5648,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Grounds Maintenance Worker 1,4109,1,0,,,,,"$1,500 ",0,
Grounds Maintenance Worker 2,4110,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Grounds Maintenance Worker 2,4110,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Group Life Coordinator 1,6750,1,3005,3622,4022,617,1017,"$8,912 ",36060,48264
Group Life Coordinator 2,6751,1,3483,4255,4746,772,1263,"$10,091 ",41796,56952
Hairdresser,9300,1,0,,,,,"$1,500 ",0,
Health Care Investigator/Advisor,5911,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Health Information Specialist,15,1,3335,3890,4337,555,1002,"$9,726 ",40020,52044
Heavy Equipment Technician 1,4437,1,0,,,,,"$1,500 ",0,
Heavy Equipment Technician 2,4438,1,0,,,,,"$1,500 ",0,
Human Services Assistant 2,6606,1,3095,3592,3995,497,900,"$9,134 ",37140,47940
Human Services Case Manager,6630,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Human Services Specialist 1,6657,1,3005,3476,3859,471,854,"$8,912 ",36060,46308
Human Services Specialist 2,6658,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Human Services Specialist 3,6659,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Human Services Specialist 4,6660,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Incident Response Operations Specialist,4165,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Industrial Hygienist 2,5706,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Industrial Hygienist 3,5707,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Industrial Hygienist 4,5708,1,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Information Systems Specialist 2,1483,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Information Systems Specialist 3,1483,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Information Systems Specialist 4,1484,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Information Systems Specialist 5,1485,1,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Information Systems Specialist 6,1486,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Information Systems Specialist 7,1487,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Information Systems Specialist 8,1488,1,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Institution Registered Nurse,6314,1,6756,7537,8411,781,1655,"$18,163 ",81072,100932
Insurance Examiner,5748,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Insurance Examiner Entry,5747,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Investigator 1,5331,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Investigator 2,5333,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Investigator 3,5333,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Investment Analyst 1,1333,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Investment Analyst 2,1333,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Investment Analyst 3,1334,1,6664,7444,8320,780,1656,"$17,936 ",79968,99840
Juvenile Probation/Social Services Officer/Juvenile Correction Counselor,6633,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Laboratory Technician 2,6811,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Laborer/Student Worker,4116,1,0,,,,,"$1,500 ",0,
Legal Secretary,110,1,3335,3890,4337,555,1002,"$9,726 ",40020,52044
Librarian,3330,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Licensed Practical Nurse,6135,1,4131,4611,5148,480,1017,"$11,689 ",49572,61776
Livestock Brand Inspector,5430,1,3005,3476,3859,471,854,"$8,912 ",36060,46308
Loan Specialist 1,1001,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Loan Specialist 2,1003,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Loan Specialist 3,1003,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Machinist,4018,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Mail Delivery Driver,4404,1,3005,3476,3859,471,854,"$8,912 ",36060,46308
Mail Equipment Operator 1,403,1,0,,,,,"$1,500 ",0,
Mail Equipment Operator 2,404,1,3005,3476,3859,471,854,"$8,912 ",36060,46308
Mail Services Assistant,405,1,0,,,,,"$1,500 ",0,
Manual Arts Instructor,3304,1,3218,3581,3987,363,769,"$9,437 ",38616,47844
Medical Consultant,7538,1,8870,9911,11079,1041,2209,"$23,377 ",106440,132948
Medical Laboratory Technician 1,6830,1,3335,3890,4337,555,1002,"$9,726 ",40020,52044
Medical Laboratory Technician 2,6831,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Medical Review Coordinator,6310,1,6756,7537,8411,781,1655,"$18,163 ",81072,100932
Mental Health Security Technician,6708,1,3218,3909,4352,691,1134,"$9,437 ",38616,52224
Mental Health Therapist 1,6711,1,3218,3909,4352,691,1134,"$9,437 ",38616,52224
Mental Health Therapist 2,6713,1,3483,4255,4746,772,1263,"$10,091 ",41796,56952
Mental Health Therapy Coordinator,6718,1,3483,4255,4746,772,1263,"$10,091 ",41796,56952
Mental Health Therapy Technician,6710,1,3005,3622,4022,617,1017,"$8,912 ",36060,48264
Mental Health Therapy Technician,6710,1,3005,3622,4022,617,1017,"$8,912 ",36060,48264
Microbiologist 1,3779,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Microbiologist 2,3780,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Microbiologist 3,3781,1,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Motor Carrier Enforcement Officer 1,5857,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Motor Carrier Enforcement Officer 2,5858,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Natural Resource Specialist 1,8501,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Natural Resource Specialist 2,8503,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Natural Resource Specialist 3,8503,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Natural Resource Specialist 4,8504,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Natural Resource Specialist 5,8505,1,6350,7093,7926,743,1576,"$17,162 ",76200,95112
Nutrition Consultant,5955,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Occupational Safety Specialist 1,5709,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Occupational Safety Specialist 2,5710,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Occupational Safety Specialist 3,5711,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Occupational Therapist,6508,1,6350,7093,7926,743,1576,"$17,162 ",76200,95112
Office Assistant 1,101,1,0,,,,,"$1,500 ",0,
Office Assistant 2,103,1,0,,,,,"$1,500 ",0,
Office Coordinator,801,1,3005,3476,3859,471,854,"$8,912 ",36060,46308
Office Specialist 1,103,1,0,,,,,"$1,500 ",0,
Office Specialist 2,104,1,3005,3476,3859,471,854,"$8,912 ",36060,46308
Operations & Policy Analyst 1,870,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Operations & Policy Analyst 2,871,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Operations & Policy Analyst 3,873,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Operations & Policy Analyst 4,873,1,6350,7093,7926,743,1576,"$17,162 ",76200,95112
Painter,4001,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Paralegal,1534,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Park Ranger 1,8434,1,0,0,0,0,0,"$1,500 ",0,0
Park Ranger 2,8435,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Park Ranger 3,8436,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Park Ranger Assistant,8433,1,0,,,,,"$1,500 ",0,
Park Specialist,8445,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Parking Services Representative,5550,1,0,,,,,"$1,500 ",0,
Parts Specialist 2,783,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Payroll Analyst,314,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Pharmacist,6360,1,8870,9911,11079,1041,2209,"$23,377 ",106440,132948
Pharmacist 2,6363,1,9751,10898,12185,1147,2434,"$25,550 ",117012,146220
Pharmacist Resident,6361,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Pharmacy Clerk & Technician 2,6388,1,3095,3749,4170,654,1075,"$9,134 ",37140,50040
Pharmacy Clerk & Technician 3,6389,1,3218,3909,4352,691,1134,"$9,437 ",38616,52224
Physical Therapist,6503,1,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Physical/Electronic Security Technician,4037,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Physical/Electronic Security Technician 3,4039,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Physician's Assistant,6357,1,6664,7444,8320,780,1656,"$17,936 ",79968,99840
Planner 2,1097,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Plumber,4005,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Preadmissions Screening Specialist,6684,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Print Services Technician,3446,1,3095,3592,3995,497,900,"$9,134 ",37140,47940
Printing Production Coordinator,3475,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Procurement & Contract Specialist 1,436,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Procurement & Contract Specialist 2,437,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Procurement & Contract Specialist 3,438,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Procurement And Contract Assistant,435,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Program Analyst 1,860,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Program Analyst 2,861,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Program Analyst 3,863,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Program Analyst 4,863,1,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Project Manager 1,854,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Project Manager 2,855,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Project Manager 3,856,1,6350,7093,7926,743,1576,"$17,162 ",76200,95112
Psychiatric Social Worker,6730,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Public Affairs Specialist 1,864,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Public Affairs Specialist 2,865,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Public Affairs Specialist 3,866,1,6051,6759,7553,708,1502,"$16,424 ",72612,90636
Public Health Educator 1,3337,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Public Health Educator 2,3338,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Public Health Nurse 2,6339,1,6756,7537,8411,781,1655,"$18,163 ",81072,100932
Public Health Toxicologist 1,3433,1,5503,6147,6869,644,1366,"$15,073 ",66036,82428
Public Service Representative 2,333,1,0,,,,,"$1,500 ",0,
Public Service Representative 3,333,1,3005,3476,3859,471,854,"$8,912 ",36060,46308
Public Service Representative 4,334,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Radiologic Technologist,6348,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Rehabilitation Instructor For The Blind,3333,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Rehabilitation Instructor For The Blind (Entry),3333,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Rehabilitation Therapist,6531,1,4356,4864,5433,508,1077,"$12,244 ",52272,65196
Research Analyst 1,1115,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Research Analyst 2,1116,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Research Analyst 3,1117,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Research Analyst 4,1118,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Retirement Counselor 1,841,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Retirement Counselor 2,843,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Revenue Agent 1,5110,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Revenue Agent 2,5111,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Revenue Agent 3,5113,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Safety Specialist 1,1345,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Safety Specialist 2,1346,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Scientific Instrument Technician,4339,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Seamster,9301,1,3005,3622,4022,617,1017,"$8,912 ",36060,48264
Securities Examiner,5671,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Shipping Point Inspector 1,5450,1,3005,3476,3859,471,854,"$8,912 ",36060,46308
Shipping Point Inspector 2,5451,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Sign Technician 1,4131,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Social Service Assistant,6609,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Social Service Specialist 1,6613,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Social Services Specialist 2,6613,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
State Library Specialist 1,351,1,0,,,,,"$1,500 ",0,
State Library Specialist 2,353,1,3335,3890,4337,555,1002,"$9,726 ",40020,52044
State Procurement Analyst,770,1,5771,6447,7205,676,1434,"$15,734 ",69252,86460
Student Office Worker,100,1,0,4036,4301,4036,4301,"$1,500 ",0,51612
Supply Specialist 1,758,1,0,,,,,"$1,500 ",0,
Supply Specialist 2,759,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Tax Auditor 1,5631,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Tax Auditor 2,5633,1,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Tax Auditor/Entry,5630,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Teaching Assistant,3303,1,3005,3476,3859,471,854,"$8,912 ",36060,46308
Traffic Survey Interviewer,1105,1,0,,,,,"$1,500 ",0,
Training & Development Specialist 1,1338,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Training & Development Specialist 2,1339,1,5019,5604,6260,585,1241,"$13,879 ",60228,75120
Transportation Maintenance Coordinator 1,4161,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Transportation Maintenance Coordinator 2,4163,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Transportation Maintenance Specialist 1,4151,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Transportation Maintenance Specialist 2,4153,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Transportation Maintenance Specialist Entry,4150,1,0,,,,,"$1,500 ",0,
Transportation Services Office Leader,333,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Transportation Services Representative 1,331,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Transportation Services Representative 2,333,1,3483,4065,4533,582,1050,"$10,091 ",41796,54396
Transportation Telecommunications Specialist 1,4166,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Transportation Telecommunications Specialist 2,4167,1,3964,4425,4941,461,977,"$11,277 ",47568,59292
Transporter,4403,1,0,,,,,"$1,500 ",0,
Transporting Mental Health Aide,6101,1,3218,3909,4352,691,1134,"$9,437 ",38616,52224
Truck Driver 1,4401,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Truck Driver 2,4403,1,3629,4240,4731,611,1102,"$10,451 ",43548,56772
Veterans Service Officer,799,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Veterans Trust Officer,784,1,4155,4639,5181,484,1026,"$11,748 ",49860,62172
Video Producer,3176,1,5256,5870,6558,614,1302,"$14,464 ",63072,78696
Vocational Rehabilitation Counselor,6647,1,4555,5087,5683,532,1128,"$12,735 ",54660,68196
Vocational Rehabilitation Counselor Entry,6646,1,3629,4048,4517,419,888,"$10,451 ",43548,54204
Vocational Rehabilitation Specialist,6648,1,4776,5334,5960,558,1184,"$13,280 ",57312,71520
Water Resource Data Technician 1,8510,1,3483,3883,4331,400,848,"$10,091 ",41796,51972
Water Resource Data Technician 2,8511,1,3790,4432,4948,642,1158,"$10,848 ",45480,59376
Wildland Fire Dispatcher,8364,1,3005,3335,3703,330,698,"$8,912 ",36060,44436
Wildland Fire Dispatcher Entry,8363,1,0,,,,,"$1,500 ",0,
Wildland Fire Suppression Specialist,8355,1,3218,3742,4165,524,947,"$9,437 ",38616,49980
Wildland Fire Suppression Specialist Entry,8354,1,0,,,,,"$1,500 ",0,
