Position,Classification code,Current Step,current_monthly,monthly_pay_at_contract_end,difference in monthly pay,pct_change,Total increase over the contract,Annual pay at current monthly pay,Annual pay at monthly pay at end of contract,Difference in annual pay
Accounting Technician,313,1,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Accounting Technician,313,2,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Accounting Technician,313,3,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Accounting Technician,313,4,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Accounting Technician,313,5,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Accounting Technician,313,6,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Accounting Technician,313,7,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Accounting Technician,313,8,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Accounting Technician,313,9,5019,5963,944,18.81%,"$13,879 ","$60,228 ","$71,556 ","$11,328 "
Accounting Technician,313,10,5256,5964,708,13.47%,"$14,464 ","$63,072 ","$71,568 ","$8,496 "
Activities Coordinator,6530,1,3483,4536,1053,30.23%,"$10,091 ","$41,796 ","$54,432 ","$12,636 "
Activities Coordinator,6530,2,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Activities Coordinator,6530,3,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Activities Coordinator,6530,4,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Activities Coordinator,6530,5,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Activities Coordinator,6530,6,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Activities Coordinator,6530,7,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Activities Coordinator,6530,8,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Activities Coordinator,6530,9,5019,5963,944,18.81%,"$13,879 ","$60,228 ","$71,556 ","$11,328 "
Activities Coordinator,6530,10,5256,5964,708,13.47%,"$14,464 ","$63,072 ","$71,568 ","$8,496 "
Administrative Law Judge 1,1510,1,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Administrative Law Judge 1,1510,2,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Administrative Law Judge 1,1510,3,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Administrative Law Judge 1,1510,4,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Administrative Law Judge 1,1510,5,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Administrative Law Judge 1,1510,6,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Administrative Law Judge 1,1510,7,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Administrative Law Judge 1,1510,8,8057,10022,1965,24.39%,"$21,372 ","$96,684 ","$120,264 ","$23,580 "
Administrative Law Judge 1,1510,9,8450,10039,1589,18.80%,"$22,341 ","$101,400 ","$120,468 ","$19,068 "
Administrative Law Judge 1,1510,10,8870,10065,1195,13.47%,"$23,377 ","$106,440 ","$120,780 ","$14,340 "
Administrative Law Judge 2,1511,1,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Administrative Law Judge 2,1511,2,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Administrative Law Judge 2,1511,3,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Administrative Law Judge 2,1511,4,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Administrative Law Judge 2,1511,5,8057,10022,1965,24.39%,"$21,372 ","$96,684 ","$120,264 ","$23,580 "
Administrative Law Judge 2,1511,6,8450,10511,2061,24.39%,"$22,341 ","$101,400 ","$126,132 ","$24,732 "
Administrative Law Judge 2,1511,7,8870,11033,2163,24.39%,"$23,377 ","$106,440 ","$132,396 ","$25,956 "
Administrative Law Judge 2,1511,8,9293,11559,2266,24.38%,"$24,420 ","$111,516 ","$138,708 ","$27,192 "
Administrative Law Judge 2,1511,9,9751,11585,1834,18.81%,"$25,550 ","$117,012 ","$139,020 ","$22,008 "
Administrative Law Judge 2,1511,10,10242,11622,1380,13.47%,"$26,761 ","$122,904 ","$139,464 ","$16,560 "
Administrative Law Judge 3,1513,1,8057,10022,1965,24.39%,"$21,372 ","$96,684 ","$120,264 ","$23,580 "
Administrative Law Judge 3,1513,2,8450,10511,2061,24.39%,"$22,341 ","$101,400 ","$126,132 ","$24,732 "
Administrative Law Judge 3,1513,3,8870,11033,2163,24.39%,"$23,377 ","$106,440 ","$132,396 ","$25,956 "
Administrative Law Judge 3,1513,4,9293,11559,2266,24.38%,"$24,420 ","$111,516 ","$138,708 ","$27,192 "
Administrative Law Judge 3,1513,5,9751,12129,2378,24.39%,"$25,550 ","$117,012 ","$145,548 ","$28,536 "
Administrative Law Judge 3,1513,6,10242,12740,2498,24.39%,"$26,761 ","$122,904 ","$152,880 ","$29,976 "
Administrative Law Judge 3,1513,7,10740,13359,2619,24.39%,"$27,989 ","$128,880 ","$160,308 ","$31,428 "
Administrative Law Judge 3,1513,8,11267,14015,2748,24.39%,"$29,289 ","$135,204 ","$168,180 ","$32,976 "
Administrative Law Judge 3,1513,9,11825,14049,2224,18.81%,"$30,665 ","$141,900 ","$168,588 ","$26,688 "
Administrative Law Judge 3,1513,10,12408,14080,1672,13.48%,"$32,103 ","$148,896 ","$168,960 ","$20,064 "
Administrative Specialist 1,107,1,3218,4002,784,24.36%,"$9,437 ","$38,616 ","$48,024 ","$9,408 "
Administrative Specialist 1,107,2,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Administrative Specialist 1,107,3,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Administrative Specialist 1,107,4,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Administrative Specialist 1,107,5,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Administrative Specialist 1,107,6,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Administrative Specialist 1,107,7,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Administrative Specialist 1,107,8,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Administrative Specialist 1,107,9,4555,5411,856,18.79%,"$12,735 ","$54,660 ","$64,932 ","$10,272 "
Administrative Specialist 1,107,10,4776,5419,643,13.46%,"$13,280 ","$57,312 ","$65,028 ","$7,716 "
Administrative Specialist 2,108,1,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Administrative Specialist 2,108,2,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Administrative Specialist 2,108,3,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Administrative Specialist 2,108,4,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Administrative Specialist 2,108,5,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Administrative Specialist 2,108,6,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Administrative Specialist 2,108,7,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Administrative Specialist 2,108,8,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Administrative Specialist 2,108,9,5256,6244,988,18.80%,"$14,464 ","$63,072 ","$74,928 ","$11,856 "
Administrative Specialist 2,108,10,5503,6244,741,13.47%,"$15,073 ","$66,036 ","$74,928 ","$8,892 "
Adult Protective Service Specialist,6616,1,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Adult Protective Service Specialist,6616,1,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Adult Protective Service Specialist,6616,2,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Adult Protective Service Specialist,6616,2,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Adult Protective Service Specialist,6616,3,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Adult Protective Service Specialist,6616,3,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Adult Protective Service Specialist,6616,4,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Adult Protective Service Specialist,6616,4,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Adult Protective Service Specialist,6616,5,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Adult Protective Service Specialist,6616,5,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Adult Protective Service Specialist,6616,6,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Adult Protective Service Specialist,6616,6,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Adult Protective Service Specialist,6616,7,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Adult Protective Service Specialist,6616,7,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Adult Protective Service Specialist,6616,8,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Adult Protective Service Specialist,6616,8,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Adult Protective Service Specialist,6616,9,6664,7917,1253,18.80%,"$17,936 ","$79,968 ","$95,004 ","$15,036 "
Adult Protective Service Specialist,6616,9,6664,7917,1253,18.80%,"$17,936 ","$79,968 ","$95,004 ","$15,036 "
Adult Protective Service Specialist,6616,10,6982,7922,940,13.46%,"$18,721 ","$83,784 ","$95,064 ","$11,280 "
Adult Protective Service Specialist,6616,10,6982,7922,940,13.46%,"$18,721 ","$83,784 ","$95,064 ","$11,280 "
Aerial Photographer,3540,1,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Aerial Photographer,3540,2,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Aerial Photographer,3540,3,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Aerial Photographer,3540,4,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Aerial Photographer,3540,5,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Aerial Photographer,3540,6,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Aerial Photographer,3540,7,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Aerial Photographer,3540,8,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Aerial Photographer,3540,9,6350,7544,1194,18.80%,"$17,162 ","$76,200 ","$90,528 ","$14,328 "
Aerial Photographer,3540,10,6664,7562,898,13.48%,"$17,936 ","$79,968 ","$90,744 ","$10,776 "
Aircraft Pilot,8333,1,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Aircraft Pilot,8333,2,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Aircraft Pilot,8333,3,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Aircraft Pilot,8333,4,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Aircraft Pilot,8333,5,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Aircraft Pilot,8333,6,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Aircraft Pilot,8333,7,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Aircraft Pilot,8333,8,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Aircraft Pilot,8333,9,7327,8705,1378,18.81%,"$19,571 ","$87,924 ","$104,460 ","$16,536 "
Aircraft Pilot,8333,10,7678,8712,1034,13.47%,"$20,437 ","$92,136 ","$104,544 ","$12,408 "
Appraiser Analyst 1,735,1,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Appraiser Analyst 1,735,2,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Appraiser Analyst 1,735,3,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Appraiser Analyst 1,735,4,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Appraiser Analyst 1,735,5,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Appraiser Analyst 1,735,6,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Appraiser Analyst 1,735,7,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Appraiser Analyst 1,735,8,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Appraiser Analyst 1,735,9,4776,5674,898,18.80%,"$13,280 ","$57,312 ","$68,088 ","$10,776 "
Appraiser Analyst 1,735,10,5019,5695,676,13.47%,"$13,879 ","$60,228 ","$68,340 ","$8,112 "
Appraiser Analyst 2,736,1,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Appraiser Analyst 2,736,2,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Appraiser Analyst 2,736,3,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Appraiser Analyst 2,736,4,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Appraiser Analyst 2,736,5,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Appraiser Analyst 2,736,6,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Appraiser Analyst 2,736,7,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Appraiser Analyst 2,736,8,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Appraiser Analyst 2,736,9,6664,7917,1253,18.80%,"$17,936 ","$79,968 ","$95,004 ","$15,036 "
Appraiser Analyst 2,736,10,6982,7922,940,13.46%,"$18,721 ","$83,784 ","$95,064 ","$11,280 "
Appraiser Analyst 3,737,1,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Appraiser Analyst 3,737,2,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Appraiser Analyst 3,737,3,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Appraiser Analyst 3,737,4,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Appraiser Analyst 3,737,5,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Appraiser Analyst 3,737,6,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Appraiser Analyst 3,737,7,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Appraiser Analyst 3,737,8,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Appraiser Analyst 3,737,9,7678,9122,1444,18.81%,"$20,437 ","$92,136 ","$109,464 ","$17,328 "
Appraiser Analyst 3,737,10,8057,9142,1085,13.47%,"$21,372 ","$96,684 ","$109,704 ","$13,020 "
Appraiser Analyst 4,738,1,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Appraiser Analyst 4,738,2,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Appraiser Analyst 4,738,3,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
Appraiser Analyst 4,738,4,6982,8685,1703,24.39%,"$18,721 ","$83,784 ","$104,220 ","$20,436 "
Appraiser Analyst 4,738,5,7327,9114,1787,24.39%,"$19,571 ","$87,924 ","$109,368 ","$21,444 "
Appraiser Analyst 4,738,6,7678,9550,1872,24.38%,"$20,437 ","$92,136 ","$114,600 ","$22,464 "
Appraiser Analyst 4,738,7,8057,10022,1965,24.39%,"$21,372 ","$96,684 ","$120,264 ","$23,580 "
Appraiser Analyst 4,738,8,8450,10511,2061,24.39%,"$22,341 ","$101,400 ","$126,132 ","$24,732 "
Appraiser Analyst 4,738,9,8870,10538,1668,18.80%,"$23,377 ","$106,440 ","$126,456 ","$20,016 "
Appraiser Analyst 4,738,10,9293,10545,1252,13.47%,"$24,420 ","$111,516 ","$126,540 ","$15,024 "
Apprenticeship Representative,4380,1,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Apprenticeship Representative,4380,2,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Apprenticeship Representative,4380,3,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Apprenticeship Representative,4380,4,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Apprenticeship Representative,4380,5,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Apprenticeship Representative,4380,6,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Apprenticeship Representative,4380,7,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Apprenticeship Representative,4380,8,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Apprenticeship Representative,4380,9,6051,7189,1138,18.81%,"$16,424 ","$72,612 ","$86,268 ","$13,656 "
Apprenticeship Representative,4380,10,6350,7205,855,13.46%,"$17,162 ","$76,200 ","$86,460 ","$10,260 "
Automotive Fleet Attendant,4417,1,0,0,0,,"$1,500 ",$-   , $-   , $-   
Automotive Fleet Attendant,4417,2,3005,3738,733,24.39%,"$8,912 ","$36,060 ","$44,856 ","$8,796 "
Automotive Fleet Attendant,4417,3,3095,3849,754,24.36%,"$9,134 ","$37,140 ","$46,188 ","$9,048 "
Automotive Fleet Attendant,4417,4,3218,4002,784,24.36%,"$9,437 ","$38,616 ","$48,024 ","$9,408 "
Automotive Fleet Attendant,4417,5,3335,4148,813,24.38%,"$9,726 ","$40,020 ","$49,776 ","$9,756 "
Automotive Fleet Attendant,4417,6,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Automotive Fleet Attendant,4417,7,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Automotive Fleet Attendant,4417,8,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Automotive Fleet Attendant,4417,9,3964,4709,745,18.79%,"$11,277 ","$47,568 ","$56,508 ","$8,940 "
Automotive Fleet Attendant,4417,10,4155,4714,559,13.45%,"$11,748 ","$49,860 ","$56,568 ","$6,708 "
Automotive Technician 1,4418,1,3483,4332,849,24.38%,"$10,091 ","$41,796 ","$51,984 ","$10,188 "
Automotive Technician 1,4418,2,3629,4514,885,24.39%,"$10,451 ","$43,548 ","$54,168 ","$10,620 "
Automotive Technician 1,4418,3,3790,4714,924,24.38%,"$10,848 ","$45,480 ","$56,568 ","$11,088 "
Automotive Technician 1,4418,4,3964,4930,966,24.37%,"$11,277 ","$47,568 ","$59,160 ","$11,592 "
Automotive Technician 1,4418,5,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Automotive Technician 1,4418,6,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Automotive Technician 1,4418,7,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Automotive Technician 1,4418,8,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Automotive Technician 1,4418,9,5019,5963,944,18.81%,"$13,879 ","$60,228 ","$71,556 ","$11,328 "
Automotive Technician 1,4418,10,5256,5964,708,13.47%,"$14,464 ","$63,072 ","$71,568 ","$8,496 "
Automotive Technician 2,4419,1,4155,5168,1013,24.38%,"$11,748 ","$49,860 ","$62,016 ","$12,156 "
Automotive Technician 2,4419,2,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Automotive Technician 2,4419,3,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Automotive Technician 2,4419,4,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Automotive Technician 2,4419,5,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Automotive Technician 2,4419,6,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Automotive Technician 2,4419,7,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Automotive Technician 2,4419,8,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Automotive Technician 2,4419,9,6051,7189,1138,18.81%,"$16,424 ","$72,612 ","$86,268 ","$13,656 "
Automotive Technician 2,4419,10,6350,7205,855,13.46%,"$17,162 ","$76,200 ","$86,460 ","$10,260 "
Behavioral Health Specialist 1,6531,1,4356,5418,1062,24.38%,"$12,244 ","$52,272 ","$65,016 ","$12,744 "
Behavioral Health Specialist 1,6531,2,4555,5666,1111,24.39%,"$12,735 ","$54,660 ","$67,992 ","$13,332 "
Behavioral Health Specialist 1,6531,3,4776,5941,1165,24.39%,"$13,280 ","$57,312 ","$71,292 ","$13,980 "
Behavioral Health Specialist 1,6531,4,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Behavioral Health Specialist 1,6531,5,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Behavioral Health Specialist 1,6531,6,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Behavioral Health Specialist 1,6531,7,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Behavioral Health Specialist 1,6531,8,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Behavioral Health Specialist 1,6531,9,6350,7544,1194,18.80%,"$17,162 ","$76,200 ","$90,528 ","$14,328 "
Behavioral Health Specialist 1,6531,10,6664,7562,898,13.48%,"$17,936 ","$79,968 ","$90,744 ","$10,776 "
Behavioral Health Specialist 2,6534,1,5019,6243,1224,24.39%,"$13,879 ","$60,228 ","$74,916 ","$14,688 "
Behavioral Health Specialist 2,6534,2,5256,6538,1282,24.39%,"$14,464 ","$63,072 ","$78,456 ","$15,384 "
Behavioral Health Specialist 2,6534,3,5503,6845,1342,24.39%,"$15,073 ","$66,036 ","$82,140 ","$16,104 "
Behavioral Health Specialist 2,6534,4,5771,7178,1407,24.38%,"$15,734 ","$69,252 ","$86,136 ","$16,884 "
Behavioral Health Specialist 2,6534,5,6051,7527,1476,24.39%,"$16,424 ","$72,612 ","$90,324 ","$17,712 "
Behavioral Health Specialist 2,6534,6,6350,7898,1548,24.38%,"$17,162 ","$76,200 ","$94,776 ","$18,576 "
Behavioral Health Specialist 2,6534,7,6664,8289,1625,24.38%,"$17,936 ","$79,968 ","$99,468 ","$19,500 "
